584;Эпиляция шугаринг~Для женщин~комплекс (ноги+бикини+подмышки)
593;Эпиляция шугаринг~Для женщин~верхние конечности (предплечье)
590;Эпиляция шугаринг~Для мужчин~грудь
588;Эпиляция шугаринг~Для мужчин~спина
589;Эпиляция шугаринг~Для мужчин~живот
587;Эпиляция шугаринг~Для мужчин~подмышечные впадины
595;Эпиляция шугаринг~Для мужчин~нижние конечности (голень)
586;Эпиляция шугаринг~Для мужчин~нижние конечности (полностью)
496;Дизайны~Процедуры~слайдер дизайн
492;Дизайны~Процедуры~объемный дизайн
494;Дизайны~Процедуры~стразы/украшения
490;Дизайны~Процедуры~плоскостной дизайн
493;Дизайны~Процедуры~декоративная роспись
495;Дизайны~Процедуры~инкрустация ногтей стразами Swarovski
513;Наращивание ногтей на гелях CNA-аквадизайн
517;Наращивание ногтей на гелях CNA~покрытие цветное
512;Наращивание ногтей на гелях CNA~наращивание френч
511;Наращивание ногтей на гелях CNA~наращивание под покраску
516;Наращивание ногтей на гелях CNA~наращивание одного ногтя
514;Наращивание ногтей на гелях CNA-коррекция гелевых ногтей
519;Наращивание ногтей на гелях CNA~снятие перед наращиванием
518;Наращивание ногтей на гелях CNA~снятие искусственных ногтей
515;Наращивание ногтей на гелях CNA~укрепление натуральных ногтей био-гелем
354;Ноги~Педикюр~мужской
355;Ноги~Педикюр~аппаратный
356;Ноги~Педикюр~комбинированный
352;Ноги~Педикюр~SPA-педикюр на косметике OPI
363;Ноги~Уход за ногами~маска
362;Ноги~Уход за ногами~пилинг
361;Ноги~Уход за ногами~массаж
521;Ноги~Уход за ногами~обработка трещин
520;Ноги~Уход за ногами~реконструкция ногтя
523;Ноги~Уход за ногами~коррекция вросшего ногтя
522;Ноги~Уход за ногами~удаление стержневой мозоли
331;Общий уход~Наращивание ногтей~аквадизайн
328;Общий уход~Наращивание ногтей~под покраску
330;Общий уход~Наращивание ногтей~цветной френч
329;Общий уход~Наращивание ногтей~классический френч
332;Общий уход~Наращивание ногтей~коррекция гелиевых ногтей
